pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Rudy Quan,Edward Winter,0-0,0-0,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,0.0,12000.0,12000.0,2,1-4,0,0,Double Fault,,T,,False,Near,,,0.0,-149.047944,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,,False,,,1,0,0,0,0,0,0,,,1,,,Down the Line,Forehand,Down the Line,Forehand,Error,Double Fault,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-0 Edward Winter Serving"
2,Rudy Quan,Edward Winter,15-0,0-0,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,28000.0,41000.0,13000.0,2,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Far,,,-115.2156824,-294.2783465,-87.12737861,-230.3290901,Down the Line,Backhand,Wide Left,Wide Left,Down the Line,Backhand,Rudy Quan,Error,Edward Winter,0.0,False,,,1,0,0,0,0,15,0,,,1,,,Down the Line,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-0 Edward Winter Serving"
3,Rudy Quan,Edward Winter,30-0,0-0,0-0,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,55526.0,85999.0,30473.0,20,13+,1,0,1st Serve In,T,T,,False,Far,,,19.70927931,-236.7854112,,,Crosscourt,Backhand,Long,,Crosscourt,Forehand,Rudy Quan,Error,Edward Winter,0.0,False,,,1,0,0,0,0,30,0,,,1,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,1st Serve In,Deuce: T,,,,,,2.0,3.0,7.0,6.0,"Set 1: 0-0, 30-0 Edward Winter Serving"
4,Rudy Quan,Edward Winter,40-0,0-0,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,113999.0,126000.0,12001.0,2,1-4,0,1,2nd Serve In,Wide,Body,Wide,False,Far,,,-81.45978237,-256.8591207,-124.8355534,-196.6893209,Crosscourt,Backhand,Long,Long,Crosscourt,Backhand,Rudy Quan,Error,Edward Winter,0.0,False,,,1,0,0,0,0,40,0,,,1,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,2nd Serve In,Ad: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-0 Edward Winter Serving"
5,Rudy Quan,Edward Winter,0-0,0-1,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,192000.0,213000.0,21000.0,6,5-8,0,1,2nd Serve In,T,Wide,T,False,Far,,,116.3584646,-286.9555227,47.12621391,-181.2018209,Crosscourt,Backhand,Net,,Down the Line,Forehand,Edward Winter,Error,Rudy Quan,0.0,False,,,1,0,0,0,1,0,0,,,2,2nd Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,2.0,0.0,0.0,2.0,"Set 1: 0-1, 0-0 Rudy Quan Serving"
6,Rudy Quan,Edward Winter,15-0,0-1,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,245000.0,268999.0,23999.0,13,13+,0,1,2nd Serve In,T,T,T,False,Far,,,-26.15760061,378.3097714,-40.6822944,-199.6928751,Crosscourt,Forehand,Net,,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,0.0,False,,,1,0,0,0,1,15,0,,,2,2nd Serve In,Ad: T,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,3.0,1.0,3.0,4.0,"Set 1: 0-1, 15-0 Rudy Quan Serving"
7,Rudy Quan,Edward Winter,15-15,0-1,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,292683.0,314000.0,21317.0,11,9-12,1,0,1st Serve In,Body,Body,,False,Far,,,64.02504374,-205.174486,,,Crosscourt,Backhand,,,Down the Line,Forehand,Rudy Quan,Winner,Rudy Quan,0.0,False,Rudy Quan,,1,0,0,0,1,15,15,,,2,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Winner,,,Crosscourt,Backhand,,,,2.0,2.0,3.0,3.0,"Set 1: 0-1, 15-15 Rudy Quan Serving"
8,Rudy Quan,Edward Winter,30-15,0-1,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,350999.0,365999.0,15000.0,4,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Far,,,-122.300771,-269.0078795,-93.07936899,-210.466858,Crosscourt,Forehand,,,Down the Line,Forehand,Edward Winter,Winner,Edward Winter,0.0,False,,,1,0,0,0,1,30,15,,,2,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,0.0,0.0,2.0,1.0,"Set 1: 0-1, 30-15 Rudy Quan Serving"
9,Rudy Quan,Edward Winter,30-30,0-1,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,391724.0,393187.0,1463.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,153.6482393,-167.9003281,,,Down the Line,Forehand,,,Down the Line,Forehand,Edward Winter,Winner,Edward Winter,0.0,False,,,1,0,0,0,1,30,30,,,2,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,0.0,0.0,1.0,0.0,"Set 1: 0-1, 30-30 Rudy Quan Serving"
10,Rudy Quan,Edward Winter,40-30,0-1,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,431399.0,440000.0,8601.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,-74.86838364,-168.795117,,,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Edward Winter,Error,Rudy Quan,0.0,False,,,1,0,0,0,1,40,30,,,2,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Down the Line,Forehand,Error,1.0,1.0,0.0,0.0,"Set 1: 0-1, 40-30 Rudy Quan Serving"
